year,month,diff_temp
2010,4,0.85
2010,5,.76
2010,6,.68
2010,7,.63
2010,8,.67
2010,9,.64
2010,10,.71
2010,11,.81
2010,12,.46
2011,1,0.53
2011,2,0.48
2011,3,0.66
2011,4,0.64
2011,5,.53
2011,6,.62
2011,7,.70
2011,8,.75
2011,9,.56
2011,10,.66
2011,11,.59
2011,12,.60
2012,1,0.47
2012,2,0.49
2012,3,0.57
2012,4,0.73
2012,5,.78
2012,6,.64
2012,7,.58
2012,8,.66
2012,9,.72
2012,10,.80
2012,11,.79
2012,12,.53
2013,1,0.71
2013,2,0.62
2013,3,0.67
2013,4,0.53
2013,5,.61
2013,6,.69
2013,7,.60
2013,8,.70
2013,9,.77
2013,10,.69
2013,11,.83
2013,12,.70
2014,1,0.77
2014,2,0.55
2014,3,0.78
2014,4,0.81
2014,5,.86
2014,6,.67
2014,7,.58
2014,8,.83
2014,9,.87
2014,10,.81
2014,11,.67
2014,12,.79
2015,1,0.87
2015,2,0.9
2015,3,0.96
2015,4,0.76
2015,5,.80
2015,6,.81
2015,7,.73
2015,8,.80
2015,9,.85
2015,10,1.09
2015,11,1.06
2015,12,1.17
2016,1,1.18
2016,2,1.37
2016,3,1.35
2016,4,1.1
2016,5,.95
2016,6,.80
2016,7,.85
2016,8,1.02
2016,9,.90
2016,10,.89
2016,11,.92
2016,12,.87
2017,1,1.03
2017,2,1.14
2017,3,1.17
2017,4,0.94
2017,5,.92
2017,6,.72
2017,7,.82
2017,8,.88
2017,9,.77
2017,10,.90
2017,11,.88
2017,12,.94
2018,1,0.83
2018,2,0.85
2018,3,0.89
2018,4,0.89
2018,5,.82
2018,6,.77
2018,7,.83
2018,8,.77
2018,9,.80
2018,10,1.02
2018,11,.83
2018,12,.92
2019,1,0.94
2019,2,0.95
2019,3,1.18
2019,4,1.01
2019,5,.85
2019,6,.90
2019,7,.95
2019,8,.95
2019,9,.93
2019,10,1.01
2019,11,1.00
2019,12,1.10
2020,1,1.17
2020,2,1.25
2020,3,1.17
2020,4,1.13
2020,5,1.02
2020,6,.92
2020,7,.90
2020,8,.87
2020,9,.98
2020,10,.88
2020,11,1.11
2020,12,.80
2021,1,0.81
2021,2,0.65
2021,3,0.89
2021,4,0.76
2021,5,.79
2021,6,.85
2021,7,.92
2021,8,.82
2021,9,.93
2021,10,1.00
2021,11,.94
2021,12,.87
2022,1,0.91
2022,2,0.9
2022,3,1.05
2022,4,0.84
2022,5,.84
2022,6,.93
2022,7,.94
2022,8,.95
2022,9,.89
2022,10,.97
2022,11,.73
2022,12,.81
2023,1,0.88
2023,2,0.98
2023,3,1.22
2023,4,0.99
2023,5,.94
2023,6,1.08
2023,7,1.19
2023,8,1.20
2023,9,1.48
2023,10,1.34
2023,11,1.43
2023,12,1.36
2024,1,1.22
2024,2,1.44
2024,3,1.39
2024,4,1.32
